Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Louisville,Amer,34,29–5,119.2,88.2,0.9697,54,43.8,14.9,25.2,37.3,32.9,40.4,38.2,53,43.9,37.1,29.1,35.6,30.7,69,5.4
2,Arizona,P12,34,30–4,115,86.7,0.9624,51.6,42.2,16,19,37.2,26,41.7,34.5,50.9,40.5,35.6,31.4,26.5,26.2,64.6,9.5
3,Florida,SEC,34,32–2,115.9,88.8,0.9555,52.7,45.1,17.8,21.9,35.6,28.8,43.4,32.6,51.3,42.9,36.8,33.3,35.3,31.5,63.4,11.8
4,Duke,ACC,34,26–8,126.1,97.8,0.9488,54,49,14.4,18.7,35.1,31.7,39.3,40.2,50.8,50,39.4,30.5,39,24,66.8,6.5
5,Virginia,ACC,34,28–6,113.2,88.4,0.9453,50.6,43.9,16.8,18.8,34.8,26.4,42.4,32.3,48.9,41.8,36.5,31.9,29.6,33.9,61.3,8.2
6,Wisconsin,B10,33,26–7,121.9,96.6,0.9355,53.1,47.5,12.6,15.6,27.9,27.7,44.1,25.9,51.3,46.2,37.3,34.3,39.3,25.3,64.3,8
7,Creighton,BE,33,26–7,126.5,100.4,0.9343,59.3,48,15.2,15.1,28.1,27.8,34.3,32.9,56.2,46.8,42.1,33.6,44.7,34.8,65.6,5.7
8,Kansas,B12,33,24–9,120.2,95.5,0.9338,54.5,47.1,19,16.3,37.1,29.1,48.9,45.8,55.7,44.1,34.5,35.9,29.2,31.1,68.3,6.9
9,Villanova,BE,32,28–4,116.1,92.8,0.9292,54,46.6,17.2,20.2,33.1,28.9,45,38.7,53.9,43.4,36.1,35.4,44.6,32.7,67.4,8.4
10,Michigan St.,B10,34,26–8,118.4,94.8,0.9276,54.5,46.2,17.1,18.3,33.5,27.7,33.5,39.1,52.1,44,39.1,33.2,35.8,37,66.3,6.9
11,Tennessee,SEC,32,20–12,116.2,93.6,0.9231,49.3,45.9,17.2,17.2,39.7,27.6,41.3,33.1,49.2,43.9,33,34,30.6,27.3,63.4,0.41
12,Pittsburgh,ACC,34,25–9,117.1,94.4,0.9229,50.9,46.8,16.5,19.2,37.7,28.8,46,37,50,45.3,35.6,33.1,26.8,33.4,64.1,4.2
13,Ohio St.,B10,34,25–9,109.3,88.4,0.9197,50.3,45.2,17.1,22,30,30,42.8,29.7,51,45.7,32.6,29.4,33.2,31.7,65.3,4.5
14,Wichita St.,MVC,33,33–0,115.5,93.5,0.9189,52,44.8,16.2,18.5,35.4,25.9,47.3,35.6,52,43.7,34.7,31.3,36.5,35.4,65.2,8.2
15,Iowa,B10,32,20–12,120.8,97.9,0.9181,51.3,47.3,16.1,19,38.1,28.9,45.8,34.8,50.7,47,35.3,32,27.5,37.2,71.2,1.2
16,Syracuse,ACC,32,27–5,115.3,93.5,0.9178,48.2,48.3,14.6,21.9,38.1,31.7,38.8,36.5,47.5,45.8,33.5,34.6,27.1,40.8,61.5,7.9
17,Michigan,B10,33,25–8,123,99.7,0.9176,55.5,49.6,14.8,17.3,28.9,28.9,35.9,27.6,53.1,50.4,39.4,32.1,40,32.1,63,7.7
18,Oklahoma St.,B12,33,21–12,116.4,94.5,0.9167,52.8,46,14.7,20,27.7,32.2,49.4,40,51.5,44.8,36.8,32.2,34.2,32.9,69,1.4
19,UCLA,P12,34,26–8,118.5,96.9,0.9094,54.4,50.1,14.9,20.5,30.2,28.3,39,36.4,52.8,48.8,39.1,34.6,27.5,41.8,70.4,4.6
20,Gonzaga,WCC,33,27–6,114.6,93.9,0.9084,55.4,44.4,16.9,17.8,30.7,29.5,40.6,38.3,54,42.8,38.7,31.8,32.7,31.6,66.1,4
21,Kentucky,SEC,34,24–10,115.9,95.7,0.9004,49.7,45,18.1,16.3,42.2,29.9,53.8,37.8,50,44,32.5,31.7,28,29.4,66.5,4
22,Iowa St.,B12,33,26–7,116.6,96.8,0.8945,53.8,47.1,14.4,16.2,28.1,28.3,37.2,31.1,54.6,45.4,35.1,33.6,38.1,33.8,71.9,7.5
23,Connecticut,Amer,34,26–8,111.6,92.8,0.894,51.4,43.9,17.6,19.5,31.2,33.4,38.6,35.5,48,41.4,38.7,32.9,33.8,31.6,65.1,4.8
24,VCU,A10,34,26–8,107.8,89.8,0.8915,47.8,47.5,17.2,25.6,35.1,30.7,35.7,39.5,45.5,48.5,34.9,30.1,33.9,30,71,3.7
25,San Diego St.,MWC,31,27–4,108.4,90.6,0.8873,46.8,44.4,15.3,21.1,36.1,29.5,44.9,31.8,45.4,43.6,33.9,30.8,25.2,31,64.4,6.1
26,Cincinnati,Amer,33,27–6,108.6,91.1,0.8834,47.9,44.6,17.4,22.5,39.1,32.3,39.1,35.3,46.9,43,33.5,31.9,31.2,32.4,63.5,5.4
27,North Carolina,ACC,32,23–9,111.7,93.9,0.8812,49.8,46.5,17.1,19.4,37.8,31.3,44.6,41.8,49.6,46.2,33.6,31.3,20.8,34,70.9,4.3
28,Oklahoma,B12,32,23–9,118.4,99.8,0.8773,52,49.5,15.8,17.7,32.3,30.6,40,38.4,49.3,48.6,37.8,34,36.8,35.1,71.8,4.1
