year,team1,team2,team1_score,team2_score,team1_win,AdjOE_1,AdjOE_2,AdjOE_diff,AdjDE_1,AdjDE_2,AdjDE_diff,Adj T._1,Adj T._2,Adj T._diff,Momentum_1,Momentum_2,Momentum_diff,Seed_1,Seed_2,Seed_diff
2008,Mount St. Mary's,Coppin St.,69,60,1,97.6,90.5,7.099999999999994,99.2,105.7,-6.5,67.5,63.7,3.799999999999997,0.032736399325371,0.3406005758946935,-0.3078641765693225,16.0,16.0,0.0
2008,Winthrop,Washington St.,40,71,0,98.3,114.3,-16.0,91.0,92.0,-1.0,63.5,60.1,3.3999999999999986,0.0110856125302535,-0.3532357342273038,0.3643213467575573,13.0,4.0,9.0
2008,George Mason,Notre Dame,50,68,0,109.4,115.7,-6.299999999999997,99.0,95.6,3.4000000000000057,63.8,70.7,-6.900000000000006,0.0781865334742097,0.0221743693855729,0.0560121640886368,12.0,5.0,7.0
2008,Portland St.,Kansas,61,85,0,105.5,121.1,-15.599999999999994,102.0,85.9,16.099999999999994,68.2,69.5,-1.2999999999999972,1.011743788892528,-0.2333028362305579,1.2450466251230858,16.0,1.0,15.0
2008,Kent St.,Nevada Las Vegas,58,71,0,107.0,108.4,-1.4000000000000057,94.4,94.1,0.30000000000001137,66.3,66.1,0.20000000000000284,0.1406076181631733,0.2334428289708067,-0.0928352108076334,9.0,8.0,1.0
2008,Kansas St.,Southern California,80,67,1,112.9,108.3,4.6000000000000085,92.5,89.7,2.799999999999997,72.2,67.6,4.6000000000000085,-0.1898080220432178,0.2455073248638081,-0.4353153469070259,11.0,29.0,-18.0
2008,Cal St. Fullerton,Wisconsin,56,71,0,109.4,112.3,-2.8999999999999915,102.4,85.2,17.200000000000003,74.1,63.5,10.599999999999994,0.5773789088353354,0.048394709916122,0.5289841989192133,14.0,3.0,11.0
2008,Temple,Michigan St.,61,72,0,110.8,114.1,-3.299999999999997,99.1,92.8,6.299999999999997,65.5,65.4,0.09999999999999432,0.3040435382446682,-0.309621681601681,0.6136652198463493,12.0,5.0,7.0
2008,Kentucky,Marquette,66,74,0,105.8,113.1,-7.299999999999997,94.7,90.2,4.5,64.5,68.9,-4.400000000000006,0.7863003948099293,0.0309165950866263,0.755383799723303,11.0,6.0,5.0
2008,Oral Roberts,Pittsburgh,63,82,0,102.5,116.2,-13.700000000000003,92.6,96.0,-3.4000000000000057,65.5,65.2,0.29999999999999716,0.2349154337536822,-0.1350252862151345,0.3699407199688167,13.0,4.0,9.0
2008,Cornell,Stanford,53,77,0,107.8,111.6,-3.799999999999997,103.8,88.9,14.899999999999991,69.9,65.2,4.700000000000003,0.9550561797752808,0.0316941249078536,0.9233620548674272,14.0,3.0,11.0
2008,Georgia,Xavier,61,73,0,102.7,115.3,-12.599999999999994,94.7,92.6,2.1000000000000085,66.6,65.8,0.7999999999999972,-0.0818368222266058,0.038532130518519,-0.1203689527451248,14.0,3.0,11.0
2008,Baylor,Purdue,79,90,0,114.7,108.8,5.900000000000006,98.5,90.5,8.0,71.7,68.2,3.5,-0.2827641883057752,0.3871800673584538,-0.669944255664229,11.0,6.0,5.0
2008,Belmont,Duke,70,71,0,105.8,117.3,-11.5,105.1,89.0,16.099999999999994,71.4,73.7,-2.299999999999997,0.6296929815735282,-0.211471614422037,0.8411645959955651,15.0,2.0,13.0
2008,Texas A&M,Brigham Young,67,62,1,112.6,105.1,7.5,91.5,89.5,2.0,64.2,70.4,-6.200000000000003,-0.1073059472157553,0.2874390688153763,-0.3947450160311316,9.0,,
2008,Arizona,West Virginia,65,75,0,115.2,113.2,2.0,95.0,92.5,2.5,65.3,65.8,-0.5,-0.3190550679724681,-0.0688751421301679,-0.2501799258423002,10.0,7.0,3.0
2008,Mississippi Valley St.,UCLA,29,70,0,90.3,116.4,-26.10000000000001,105.4,87.2,18.200000000000003,64.9,66.2,-1.2999999999999972,-0.5765839099172438,-0.0535173910109678,-0.5230665189062761,16.0,1.0,15.0
2008,American,Tennessee,57,72,0,105.3,116.4,-11.100000000000009,104.6,92.5,12.099999999999994,62.7,72.7,-10.0,0.6182836020323542,-0.0752377810764748,0.693521383108829,15.0,2.0,13.0
2008,South Alabama,Butler,61,81,0,110.7,114.4,-3.700000000000003,98.4,95.5,2.9000000000000057,66.6,61.2,5.3999999999999915,-0.3418499306542719,-0.13525331110074,-0.2065966195535319,10.0,7.0,3.0
2008,Saint Joseph's,Oklahoma,64,72,0,113.5,108.1,5.400000000000006,98.8,92.5,6.299999999999997,65.5,65.4,0.09999999999999432,-0.1981987254995208,-0.0234043254225267,-0.1747944000769941,11.0,6.0,5.0
2008,Mount St. Mary's,North Carolina,74,113,0,97.6,120.3,-22.700000000000003,99.2,92.0,7.200000000000003,67.5,75.1,-7.599999999999994,0.032736399325371,-0.1786183346467033,0.2113547339720743,16.0,1.0,15.0
2008,Arkansas,Indiana,86,72,1,108.3,113.7,-5.400000000000006,92.5,93.4,-0.9000000000000057,68.9,68.6,0.30000000000001137,-0.0392755612446856,-0.3075836000167828,0.2683080387720972,9.0,30.0,-21.0
2008,Boise St.,Louisville,61,79,0,106.5,110.4,-3.9000000000000057,102.8,87.7,15.099999999999994,73.1,67.5,5.599999999999994,0.3209018318459371,0.0959853105094298,0.22491652133650733,14.0,3.0,11.0
2008,Davidson,Gonzaga,82,76,1,111.0,112.2,-1.2000000000000028,92.2,92.8,-0.5999999999999943,69.0,68.3,0.7000000000000028,0.7410636442894507,0.1155110265943857,0.625552617695065,10.0,7.0,3.0
