Team,Seed
Gonzaga,1
North Carolina,1
Villanova,1
Florida,4
Kentucky,2
West Virginia,4
Virginia,5
Louisville,2
Kansas,1
Duke,2
SMU,6
Wichita St.,10
Michigan,7
Saint Mary's,7
Oregon,3
Cincinnati,6
Purdue,4
Iowa St.,5
Wisconsin,8
Oklahoma St.,10
Notre Dame,5
Baylor,3
UCLA,3
Arizona,2
South Carolina,7
Butler,4
Florida St.,3
Creighton,6
Vanderbilt,9
Marquette,10
Wake Forest,11
Kansas St.,11
Miami FL,8
Rhode Island,11
Xavier,11
Minnesota,5
Michigan St.,9
Northwestern,8
Maryland,6
Virginia Tech,9
Middle Tennessee,12
Arkansas,8
Dayton,7
Providence,11
Seton Hall,9
Nevada,12
Princeton,12
VCU,10
Southern California,11
UNC Wilmington,12
Vermont,13
East Tennessee St.,13
Bucknell,13
New Mexico St.,14
Florida Gulf Coast,14
Winthrop,13
Iona,14
Troy,15
Northern Kentucky,15
Kent St.,14
North Dakota,15
Jacksonville St.,16
North Carolina Central,16
South Dakota St.,16
New Orleans,16
Mount St. Mary's,16
UC Davis,16
Texas Southern,16
